2019-08-02 09:23:27.824 logback [main] INFO  com.jindi.land.LandApplication - Starting LandApplication on localhost with PID 18496 (/Users/mac/work/source/idea/java1.8/landCraw/target/classes started by mac in /Users/mac/work/source/idea/java1.8/landCraw)
2019-08-02 09:23:36.795 logback [pool-2-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 贵州省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:36.808 logback [pool-2-thread-2] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 贵州省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
2019-08-02 09:23:36.895 logback [pool-3-thread-3] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://121.206.217.24:4316
2019-08-02 09:23:37.171 logback [pool-3-thread-1] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://1.180.165.92:43451
2019-08-02 09:23:37.187 logback [pool-5-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:37.187 logback [pool-5-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 黑龙江省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:37.199 logback [pool-5-thread-4] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://114.107.7.164:43511
2019-08-02 09:23:37.207 logback [pool-5-thread-2] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 黑龙江省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
2019-08-02 09:23:37.474 logback [pool-5-thread-1] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://115.217.108.4:4325
2019-08-02 09:23:37.476 logback [pool-4-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:37.477 logback [pool-4-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 贵州省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:37.494 logback [pool-4-thread-4] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 贵州省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=2
2019-08-02 09:23:37.656 logback [pool-3-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:37.656 logback [pool-3-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 福建省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:37.670 logback [pool-3-thread-4] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
2019-08-02 09:23:37.754 logback [pool-3-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:37.754 logback [pool-3-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 福建省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:37.821 logback [pool-3-thread-2] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
2019-08-02 09:23:37.825 logback [pool-2-thread-1] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://115.153.13.140:43481
2019-08-02 09:23:37.857 logback [pool-3-thread-3] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:37.857 logback [pool-3-thread-3] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 黑龙江省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:37.872 logback [pool-3-thread-3] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 黑龙江省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
2019-08-02 09:23:37.980 logback [pool-3-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:37.980 logback [pool-3-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 贵州省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:38.059 logback [pool-4-thread-4] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://180.118.147.232:43071
2019-08-02 09:23:38.131 logback [pool-5-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:38.131 logback [pool-5-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 贵州省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:38.157 logback [pool-3-thread-1] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 青海省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:38.190 logback [pool-5-thread-4] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 青海省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=1
2019-08-02 09:23:38.236 logback [pool-4-thread-3] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:38.236 logback [pool-4-thread-3] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 福建省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:38.251 logback [pool-4-thread-3] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=2
2019-08-02 09:23:38.274 logback [pool-2-thread-2] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://114.99.7.155:43761
2019-08-02 09:23:38.338 logback [pool-2-thread-3] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://182.246.196.118:43611
2019-08-02 09:23:38.350 logback [pool-5-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:38.350 logback [pool-5-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 青海省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:38.369 logback [pool-5-thread-1] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 青海省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
2019-08-02 09:23:38.401 logback [pool-3-thread-5] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://60.31.89.56:4326
2019-08-02 09:23:38.642 logback [pool-4-thread-2] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://175.12.203.44:4352
2019-08-02 09:23:38.676 logback [pool-4-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:38.677 logback [pool-4-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 贵州省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:38.678 logback [pool-5-thread-2] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://182.240.53.127:4381
2019-08-02 09:23:38.708 logback [pool-3-thread-4] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://112.195.103.174:4355
2019-08-02 09:23:38.732 logback [pool-4-thread-4] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 青海省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=1
2019-08-02 09:23:38.792 logback [pool-4-thread-3] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://114.239.2.198:4336
2019-08-02 09:23:38.934 logback [pool-5-thread-1] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://183.154.0.21:43211
2019-08-02 09:23:39.358 logback [pool-2-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:39.359 logback [pool-2-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 贵州省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:39.415 logback [pool-4-thread-5] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:39.415 logback [pool-4-thread-5] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 福建省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:39.426 logback [pool-2-thread-2] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 青海省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:39.428 logback [pool-4-thread-5] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=2
2019-08-02 09:23:39.654 logback [pool-4-thread-4] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://218.66.247.229:4335
2019-08-02 09:23:39.859 logback [pool-5-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:39.859 logback [pool-4-thread-3] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:39.859 logback [pool-5-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 青海省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:39.859 logback [pool-4-thread-3] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 福建省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:39.860 logback [pool-2-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:39.860 logback [pool-2-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 黑龙江省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:39.922 logback [pool-5-thread-1] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 陕西省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:39.922 logback [pool-4-thread-3] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 陕西省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=1
2019-08-02 09:23:40.001 logback [pool-2-thread-1] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 黑龙江省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
2019-08-02 09:23:40.079 logback [pool-5-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:40.079 logback [pool-5-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 黑龙江省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:40.151 logback [pool-5-thread-2] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 陕西省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=1
2019-08-02 09:23:40.167 logback [pool-2-thread-5] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://123.156.188.98:4381
2019-08-02 09:23:40.215 logback [pool-3-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:40.215 logback [pool-3-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 福建省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:40.309 logback [pool-3-thread-4] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 陕西省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:40.311 logback [pool-2-thread-2] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://218.64.155.211:43361
2019-08-02 09:23:40.326 logback [pool-4-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:40.326 logback [pool-4-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 黑龙江省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:40.339 logback [pool-4-thread-2] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 黑龙江省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=2
2019-08-02 09:23:40.578 logback [pool-4-thread-3] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://180.108.129.46:4336
2019-08-02 09:23:40.821 logback [pool-4-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:40.822 logback [pool-4-thread-4] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 青海省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:40.837 logback [pool-4-thread-4] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 青海省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=2
2019-08-02 09:23:40.990 logback [pool-2-thread-1] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://175.155.255.4:43851
2019-08-02 09:23:41.061 logback [pool-4-thread-2] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://183.144.201.140:43621
2019-08-02 09:23:41.092 logback [pool-5-thread-5] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://223.215.96.104:43351
2019-08-02 09:23:41.301 logback [pool-3-thread-5] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:41.301 logback [pool-3-thread-5] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 福建省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:41.335 logback [pool-2-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:41.335 logback [pool-2-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 青海省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:41.348 logback [pool-2-thread-2] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 青海省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
